site_id,regime,soil_moisture_frac,surface_elevation_cm,distance_to_water_m,vegetation_height_cm,canopy_cover_pct,greenness_index,plant_wetness_score,belowground_carbon_Mg_ha
S0302,prairie_mesic,0.2128,120.67,105.69,36.35,36.55,0.4123,1.4,25.48
S0303,wetland_saturated,0.8124,52.86,12.82,89.15,91.98,0.8381,4.2,118.46
S0304,prairie_mesic,0.4361,60.85,58.49,80.82,52.31,0.6049,2.1,64.24
S0305,wetland_saturated,0.8681,41.86,22.29,104.94,72.02,0.6816,4.1,144.7
S0306,prairie_mesic,0.1224,132.31,104.66,37.3,39.02,0.3748,1.8,24.36
S0307,prairie_mesic,0.295,85.59,64.55,70.83,66.47,0.4001,2.4,56.4
S0308,wetland_saturated,0.8649,52.67,25.81,92.33,80.6,0.7255,5.0,147.67
S0309,prairie_mesic,0.2466,111.6,71.89,33.83,56.41,0.4336,2.5,45.58
S0310,prairie_mesic,0.1179,134.62,97.85,4.0,33.49,0.2117,1.5,13.01
S0311,prairie_mesic,0.103,119.59,88.12,32.14,38.88,0.2092,2.2,17.83
S0312,prairie_mesic,0.196,95.41,87.72,13.25,55.85,0.3393,1.9,38.24
S0313,prairie_mesic,0.3573,87.89,75.61,99.84,59.42,0.5111,2.7,59.01
S0314,prairie_mesic,0.2449,94.94,67.64,36.41,42.28,0.3946,2.2,34.72
S0315,prairie_mesic,0.1057,137.77,121.35,33.06,35.5,0.1442,2.0,21.09
S0316,prairie_mesic,0.1008,125.02,72.44,10.18,28.91,0.2447,1.2,16.01
S0317,prairie_mesic,0.1615,118.63,90.12,48.41,38.34,0.4472,1.3,23.61
S0318,wetland_saturated,0.8336,72.16,12.94,94.02,78.54,0.7502,4.0,93.88
S0319,prairie_mesic,0.1991,93.95,75.83,9.64,31.05,0.3822,1.3,28.68
S0320,wetland_saturated,0.75,66.11,59.19,61.03,84.09,0.6745,3.6,90.37
S0321,prairie_mesic,0.3113,85.78,57.6,55.05,60.73,0.5063,2.8,53.98
S0322,prairie_mesic,0.4059,63.99,49.1,106.22,63.52,0.6984,2.9,70.62
S0323,wetland_saturated,0.662,41.0,43.22,67.66,49.96,0.5327,3.0,58.23
S0324,prairie_mesic,0.2462,83.07,41.22,58.02,38.54,0.5033,1.4,40.89
S0325,prairie_mesic,0.3453,95.04,49.45,61.03,59.1,0.468,2.5,58.97
S0326,prairie_mesic,0.1049,120.38,115.22,33.96,34.72,0.4396,1.1,17.68
S0327,wetland_saturated,0.7204,60.05,18.33,75.49,53.3,0.5814,3.7,68.91
S0328,wetland_saturated,0.8501,82.84,0.0,88.06,76.98,0.6937,4.3,132.69
S0329,wetland_saturated,0.8089,45.91,31.14,77.29,45.78,0.6844,2.7,104.86
S0330,wetland_saturated,0.8665,60.69,23.79,112.44,100.0,0.8156,4.2,150.93
S0331,wetland_saturated,0.6625,66.25,48.53,58.46,51.14,0.5107,2.7,68.63
S0332,wetland_saturated,0.7401,49.71,16.68,65.41,68.7,0.5238,4.5,80.88
S0333,prairie_mesic,0.2145,100.89,75.96,71.56,67.84,0.3954,1.5,41.86
S0334,prairie_mesic,0.2013,90.5,76.09,53.59,35.25,0.3737,1.8,28.94
S0335,prairie_mesic,0.3963,105.91,40.76,81.66,58.64,0.5911,3.1,66.94
S0336,prairie_mesic,0.1197,112.58,85.96,21.14,35.97,0.2585,1.5,18.26
S0337,prairie_mesic,0.0995,143.85,94.2,21.1,16.56,0.219,1.2,14.18
S0338,wetland_saturated,0.6442,69.21,32.56,51.59,60.3,0.3957,4.1,27.68
S0339,wetland_saturated,0.7245,69.26,3.6,65.94,63.93,0.6156,3.3,66.34
S0340,prairie_mesic,0.1287,117.73,102.79,27.35,37.61,0.3703,1.5,14.85
S0341,wetland_saturated,0.8066,59.48,15.21,98.49,58.68,0.6911,4.5,101.52
S0342,prairie_mesic,0.4055,83.14,82.13,85.26,68.19,0.3808,3.2,53.12
S0343,wetland_saturated,0.9273,54.16,0.0,118.57,100.0,0.8252,5.0,213.32
S0344,prairie_mesic,0.4023,93.69,60.29,90.65,59.28,0.5019,2.4,68.17
S0345,prairie_mesic,0.2889,80.58,65.59,67.62,79.65,0.4215,2.4,57.3
S0346,wetland_saturated,0.6649,62.59,38.46,60.95,58.45,0.5184,3.4,63.06
S0347,wetland_saturated,0.7351,52.42,44.1,77.33,79.93,0.442,2.6,64.91
S0348,prairie_mesic,0.323,115.03,74.43,50.73,65.54,0.3533,1.5,48.44
S0349,prairie_mesic,0.1311,118.31,105.58,13.79,18.96,0.2122,1.7,17.05
S0350,prairie_mesic,0.1645,128.28,87.81,53.51,44.54,0.4469,2.3,27.88
S0351,prairie_mesic,0.1207,118.08,96.46,19.29,28.83,0.2125,1.0,21.38
S0352,wetland_saturated,0.7477,60.73,1.25,98.24,51.28,0.6397,3.3,70.18
S0353,wetland_saturated,0.8536,46.75,0.0,83.03,68.11,0.8027,3.8,155.24
S0354,prairie_mesic,0.2003,100.25,75.55,48.51,49.88,0.4509,1.6,29.58
S0355,wetland_saturated,0.8071,62.06,0.0,90.37,59.12,0.6542,4.9,96.73
S0356,prairie_mesic,0.1465,131.33,101.1,24.67,38.34,0.3736,1.0,25.3
S0357,prairie_mesic,0.1909,107.41,102.61,43.71,47.46,0.4398,1.2,33.24
S0358,wetland_saturated,0.5534,94.33,40.29,48.87,28.74,0.335,2.5,24.96
S0359,prairie_mesic,0.1882,117.4,94.87,7.51,44.75,0.404,1.5,28.82
S0360,wetland_saturated,0.6844,80.05,24.09,55.46,58.01,0.36,4.3,65.96
S0361,prairie_mesic,0.222,102.24,77.7,47.01,79.47,0.3676,2.2,38.68
S0362,prairie_mesic,0.3634,115.3,48.52,73.68,45.45,0.4958,2.4,61.25
S0363,wetland_saturated,0.6272,64.76,57.54,52.21,55.64,0.4603,3.5,46.73
S0364,wetland_saturated,0.7176,50.3,21.36,78.0,70.98,0.6245,3.8,71.38
S0365,prairie_mesic,0.393,76.88,71.02,93.5,83.17,0.5435,2.7,62.57
S0366,prairie_mesic,0.1275,144.72,96.72,44.87,16.62,0.298,1.7,17.45
S0367,prairie_mesic,0.2936,99.3,54.49,69.07,64.42,0.4766,1.9,51.52
S0368,prairie_mesic,0.2469,102.19,66.87,22.33,50.37,0.3836,1.1,34.89
S0369,wetland_saturated,0.8532,75.12,8.55,96.56,63.07,0.7775,4.3,133.38
S0370,prairie_mesic,0.1722,116.9,102.94,35.6,57.88,0.4372,1.6,31.16
S0371,wetland_saturated,0.7384,79.56,31.02,59.33,53.8,0.6031,3.8,87.33
S0372,wetland_saturated,0.6106,57.05,84.88,48.35,43.07,0.3648,3.4,37.6
S0373,wetland_saturated,0.6836,55.7,52.54,67.47,50.95,0.6445,3.7,68.62
S0374,wetland_saturated,0.6682,61.28,40.48,29.97,58.43,0.6502,2.9,52.72
S0375,prairie_mesic,0.381,68.3,51.25,76.31,61.89,0.6249,2.1,65.07
S0376,prairie_mesic,0.2348,107.37,80.37,35.33,47.1,0.305,2.5,43.2
S0377,prairie_mesic,0.4069,87.05,43.43,87.0,58.74,0.4363,2.5,65.69
S0378,wetland_saturated,0.936,65.56,20.2,119.91,85.27,0.7509,4.7,181.23
S0379,prairie_mesic,0.32,114.97,64.17,56.79,65.41,0.5079,2.6,57.77
S0380,prairie_mesic,0.1841,112.3,100.91,37.17,17.29,0.3216,1.5,22.87
S0381,prairie_mesic,0.2463,95.21,88.96,57.66,54.35,0.4247,1.8,35.27
S0382,prairie_mesic,0.2341,100.92,104.22,48.65,39.4,0.4454,1.0,41.16
S0383,wetland_saturated,0.7895,68.83,23.24,79.24,67.05,0.7228,4.5,82.8
S0384,prairie_mesic,0.2093,98.92,83.17,28.4,60.98,0.3536,1.7,32.63
S0385,wetland_saturated,0.9045,52.44,25.47,98.92,100.0,0.8035,4.5,173.92
S0386,wetland_saturated,0.8646,72.68,18.27,97.29,86.56,0.7962,4.2,145.71
S0387,wetland_saturated,0.6984,64.77,31.93,43.61,47.17,0.5028,4.0,58.75
S0388,wetland_saturated,0.7181,36.31,31.87,75.24,59.96,0.5348,4.1,67.39
S0389,wetland_saturated,0.7304,44.45,29.78,58.36,63.11,0.6222,4.2,75.47
S0390,wetland_saturated,0.6299,82.88,50.52,64.86,64.01,0.4976,3.3,53.42
S0391,wetland_saturated,0.7116,63.2,11.36,58.63,52.37,0.6976,3.2,70.23
S0392,wetland_saturated,0.7661,49.84,0.0,63.35,75.11,0.673,4.8,83.55
S0393,prairie_mesic,0.1134,115.66,85.29,8.8,23.63,0.3914,1.6,18.33
S0394,wetland_saturated,0.6716,59.47,19.07,28.0,74.33,0.4949,3.3,60.96
S0395,wetland_saturated,0.9687,60.38,0.0,123.7,100.0,0.9281,5.0,230.06
S0396,wetland_saturated,0.579,54.09,57.15,45.52,50.89,0.4238,3.0,50.22
S0397,prairie_mesic,0.3559,79.81,55.59,91.12,63.37,0.4246,2.0,58.06
S0398,prairie_mesic,0.287,93.88,68.47,35.71,60.75,0.4361,2.0,44.05
S0399,wetland_saturated,0.9616,54.73,0.0,134.33,86.78,0.8707,4.1,199.82
S0400,prairie_mesic,0.1726,116.22,83.24,56.65,46.99,0.4165,2.0,29.2
S0401,wetland_saturated,0.6504,54.37,55.42,65.22,50.39,0.5609,3.6,38.28
S0402,prairie_mesic,0.0868,126.51,113.97,21.93,24.25,0.3277,1.4,13.83
S0403,prairie_mesic,0.2118,116.47,73.21,38.04,58.17,0.3524,1.0,36.33
S0404,wetland_saturated,0.9188,64.82,5.29,91.66,71.3,0.9322,5.0,156.99
S0405,wetland_saturated,0.7691,60.15,49.39,88.72,74.22,0.5748,3.9,78.13
S0406,wetland_saturated,0.7095,59.27,35.86,49.65,47.39,0.6263,2.9,66.59
S0407,wetland_saturated,0.7199,48.63,14.25,49.14,75.1,0.5507,3.7,73.84
S0408,prairie_mesic,0.3068,89.73,62.17,75.38,77.61,0.4129,2.4,61.37
S0409,prairie_mesic,0.2323,117.45,84.47,70.73,44.43,0.4737,1.5,44.06
S0410,prairie_mesic,0.1409,117.98,98.39,22.75,32.12,0.3815,1.6,22.28
S0411,wetland_saturated,0.9426,49.66,2.39,115.73,60.99,0.7575,4.9,170.77
S0412,wetland_saturated,0.8435,55.98,0.0,75.52,100.0,0.736,4.4,126.62
S0413,prairie_mesic,0.1329,116.34,80.34,40.72,33.03,0.332,1.0,21.85
S0414,wetland_saturated,0.6721,55.98,33.33,78.04,58.29,0.5362,3.4,65.54
S0415,wetland_saturated,0.7255,63.93,28.48,76.29,65.69,0.6253,3.6,67.06
S0416,prairie_mesic,0.3497,94.76,50.84,69.56,50.15,0.3367,2.8,55.41
S0417,prairie_mesic,0.1766,121.28,89.23,44.57,54.05,0.3269,2.0,28.48
S0418,wetland_saturated,0.5631,93.78,54.38,52.29,53.71,0.3632,3.2,32.04
S0419,wetland_saturated,0.6913,72.8,52.43,62.27,60.33,0.4484,2.8,59.22
S0420,prairie_mesic,0.2616,81.6,65.94,56.26,68.28,0.39,2.3,49.39
S0421,prairie_mesic,0.1173,112.68,111.1,4.0,24.2,0.1298,2.3,4.99
S0422,prairie_mesic,0.2275,111.46,84.63,58.7,47.14,0.3666,2.3,27.44
S0423,wetland_saturated,0.7042,54.69,43.06,61.64,67.29,0.5809,4.1,67.83
S0424,wetland_saturated,0.7129,46.78,39.11,61.94,38.09,0.5318,4.4,66.2
S0425,prairie_mesic,0.3603,84.65,69.69,78.51,54.0,0.4561,3.2,61.6
S0426,wetland_saturated,0.6854,52.95,39.5,61.52,54.32,0.5422,4.0,75.15
S0427,prairie_mesic,0.3493,81.86,66.15,79.82,77.74,0.438,2.4,59.98
S0428,wetland_saturated,0.9203,51.35,1.39,121.5,89.94,0.9148,4.8,205.61
S0429,wetland_saturated,0.583,85.74,54.14,30.39,57.88,0.4956,2.6,39.6
S0430,wetland_saturated,0.8697,63.25,23.31,103.56,68.01,0.8125,4.1,116.85
S0431,wetland_saturated,0.7719,85.38,9.04,63.98,73.41,0.671,5.0,92.16
S0432,wetland_saturated,0.936,58.68,0.0,114.47,85.06,0.9215,4.7,183.21
S0433,wetland_saturated,0.9086,55.24,5.45,109.81,100.0,0.8006,4.1,176.89
S0434,wetland_saturated,0.9171,57.83,8.94,119.84,91.63,0.9031,4.7,189.84
S0435,prairie_mesic,0.2002,113.07,78.15,43.61,48.0,0.3337,1.0,36.92
S0436,wetland_saturated,0.8593,66.18,3.81,110.92,55.03,0.8591,3.8,130.94
S0437,wetland_saturated,0.9112,82.6,1.52,101.06,83.24,0.7217,5.0,153.34
S0438,wetland_saturated,0.588,67.55,19.62,56.07,48.08,0.3612,3.6,17.11
S0439,wetland_saturated,0.8422,70.8,2.58,90.38,79.86,0.8034,4.4,138.88
S0440,wetland_saturated,0.8297,63.68,2.74,98.17,89.13,0.6065,4.1,132.54
S0441,wetland_saturated,0.7335,41.14,15.05,103.1,63.38,0.6836,3.7,82.36
S0442,prairie_mesic,0.1239,127.58,121.67,27.62,33.26,0.1874,1.5,22.86
S0443,prairie_mesic,0.3462,102.95,40.54,79.07,84.49,0.3882,2.9,56.82
S0444,wetland_saturated,0.6081,59.08,34.81,48.78,24.01,0.445,1.8,44.14
S0445,prairie_mesic,0.3681,89.37,17.61,111.81,60.31,0.6066,3.4,58.7
S0446,wetland_saturated,0.8333,41.98,0.5,93.29,71.51,0.7005,4.2,105.01
S0447,prairie_mesic,0.2355,78.87,62.93,86.15,64.77,0.4236,1.7,54.91
S0448,wetland_saturated,0.6295,77.54,37.06,42.15,54.62,0.4483,3.8,40.37
S0449,wetland_saturated,0.7901,53.64,32.33,67.49,82.07,0.6214,4.1,95.68
S0450,wetland_saturated,0.9059,47.74,15.9,100.94,95.3,0.8024,4.8,156.43
S0451,prairie_mesic,0.2777,93.07,65.98,70.18,73.01,0.5147,2.1,53.23
S0452,prairie_mesic,0.1856,104.2,84.62,21.27,30.49,0.3884,1.0,35.32
S0453,wetland_saturated,0.8268,54.72,26.77,95.32,81.33,0.6742,4.1,100.07
S0454,wetland_saturated,0.777,66.19,19.58,92.49,64.91,0.6594,4.5,80.19
S0455,wetland_saturated,0.7888,46.38,1.8,69.66,62.1,0.6426,3.6,93.56
S0456,wetland_saturated,0.841,51.4,0.0,87.38,70.59,0.7204,3.9,123.25
S0457,prairie_mesic,0.1441,116.5,88.91,53.34,42.92,0.2419,1.0,19.27
S0458,prairie_mesic,0.0998,133.52,116.81,7.11,16.41,0.1347,1.0,10.51
S0459,prairie_mesic,0.2582,109.75,108.05,55.96,68.89,0.3231,2.1,46.38
S0460,prairie_mesic,0.2605,89.87,76.23,34.72,99.03,0.3922,2.0,51.19
S0461,prairie_mesic,0.4131,101.6,43.79,93.59,67.84,0.6248,2.7,71.0
S0462,prairie_mesic,0.1362,111.64,84.09,15.17,29.77,0.2397,1.0,16.63
S0463,wetland_saturated,0.9057,79.58,11.15,117.33,88.24,0.7931,4.2,170.38
S0464,wetland_saturated,0.7256,46.25,5.02,60.75,72.73,0.489,3.7,56.31
S0465,wetland_saturated,0.6868,77.32,48.73,69.44,39.36,0.5017,3.5,45.93
S0466,wetland_saturated,0.9049,50.51,14.97,145.36,86.37,0.9132,5.0,191.03
S0467,wetland_saturated,0.7002,79.98,31.95,57.55,60.7,0.579,4.6,70.92
S0468,prairie_mesic,0.1627,125.25,96.71,23.84,51.32,0.2646,1.0,18.98
S0469,wetland_saturated,0.8635,50.22,13.53,87.51,92.25,0.8535,4.7,125.0
S0470,prairie_mesic,0.3254,83.47,60.01,73.16,59.26,0.4216,2.6,51.31
S0471,wetland_saturated,0.9302,63.05,0.0,135.26,96.23,0.834,4.3,197.16
S0472,prairie_mesic,0.3689,100.67,85.72,103.17,75.72,0.3675,2.7,61.16
S0473,prairie_mesic,0.167,111.1,87.03,37.32,40.97,0.3876,1.6,29.61
S0474,wetland_saturated,0.6601,63.06,51.91,45.04,52.37,0.5441,3.8,46.4
S0475,prairie_mesic,0.4381,99.62,18.99,94.42,68.08,0.621,2.4,67.74
S0476,prairie_mesic,0.2079,102.09,98.77,78.48,63.37,0.3195,1.9,37.69
S0477,prairie_mesic,0.1667,95.68,112.17,52.6,17.0,0.3578,2.3,22.33
S0478,prairie_mesic,0.404,81.85,55.9,85.23,51.4,0.6186,3.9,67.16
S0479,wetland_saturated,0.798,61.72,22.55,79.78,58.85,0.7092,4.4,102.29
S0480,wetland_saturated,0.6055,89.47,60.84,37.84,54.94,0.4704,3.1,37.39
S0481,wetland_saturated,0.9271,76.8,0.0,112.21,98.11,0.8614,4.1,179.47
S0482,prairie_mesic,0.1245,128.76,109.97,12.95,19.71,0.2283,1.0,8.96
S0483,prairie_mesic,0.1638,118.44,83.92,34.89,45.25,0.2906,1.6,26.04
S0484,prairie_mesic,0.1194,127.93,92.02,41.77,24.76,0.2387,1.0,22.37
S0485,wetland_saturated,0.6745,54.85,56.57,66.69,56.4,0.4434,3.7,54.4
S0486,wetland_saturated,0.5869,76.6,68.17,36.28,30.03,0.2145,2.3,28.02
S0487,wetland_saturated,0.7565,48.81,11.27,64.23,60.7,0.6224,3.5,75.36
S0488,wetland_saturated,0.7388,44.38,17.4,75.46,45.35,0.5393,3.8,73.58
S0489,prairie_mesic,0.2639,100.04,64.55,78.71,58.12,0.3392,2.2,46.89
S0490,prairie_mesic,0.1922,110.2,99.2,50.67,55.61,0.3659,1.8,34.08
S0491,prairie_mesic,0.1508,120.5,78.46,44.36,34.42,0.3147,1.7,16.29
S0492,wetland_saturated,0.636,74.37,52.39,47.35,53.05,0.5001,2.9,45.51
S0493,wetland_saturated,0.7762,61.22,27.94,72.42,67.26,0.597,3.9,89.9
S0494,prairie_mesic,0.2982,97.2,64.6,44.84,42.4,0.3237,2.3,49.14
S0495,prairie_mesic,0.2728,100.22,94.83,56.78,65.82,0.3651,2.7,40.58
S0496,prairie_mesic,0.2164,105.56,75.51,52.58,66.31,0.4415,1.9,38.13
S0497,prairie_mesic,0.4067,82.73,52.28,110.84,69.97,0.652,2.9,62.58
S0498,prairie_mesic,0.2762,100.12,59.14,50.5,48.02,0.4825,2.1,43.15
S0499,prairie_mesic,0.4152,98.77,70.5,96.99,51.18,0.6522,2.9,67.0
S0500,prairie_mesic,0.4002,81.72,46.48,82.7,58.7,0.4656,2.4,61.48
S0501,wetland_saturated,0.848,61.97,10.53,98.4,76.16,0.7351,4.0,126.03
S0502,prairie_mesic,0.4125,84.23,54.26,77.44,49.76,0.5312,2.7,65.12
S0503,wetland_saturated,0.6259,61.26,30.0,42.85,46.27,0.4201,3.1,50.75
S0504,wetland_saturated,0.7268,45.49,16.85,65.09,89.83,0.5917,4.5,74.02
S0505,prairie_mesic,0.1025,136.31,125.48,4.0,11.21,0.15,1.2,3.78
S0506,wetland_saturated,0.9169,71.53,5.97,115.7,77.96,0.8148,4.3,169.1
S0507,prairie_mesic,0.1655,120.3,79.92,28.54,43.45,0.3584,1.4,25.0
S0508,wetland_saturated,0.8409,82.02,14.52,94.45,77.65,0.5991,4.3,100.12
S0509,wetland_saturated,0.8147,58.29,7.61,86.2,57.96,0.7426,3.9,110.52
S0510,prairie_mesic,0.1713,144.18,142.96,39.18,54.33,0.426,1.6,36.08
S0511,prairie_mesic,0.4117,86.66,61.89,107.25,66.26,0.4905,2.2,64.05
S0512,wetland_saturated,0.9379,59.39,0.0,131.77,98.05,0.8827,5.0,189.18
S0513,prairie_mesic,0.2602,88.83,90.95,70.81,43.47,0.4061,1.5,43.64
S0514,wetland_saturated,0.6343,70.04,17.02,52.61,46.14,0.5255,2.9,49.01
S0515,prairie_mesic,0.3415,98.42,58.81,75.87,60.58,0.4727,2.6,55.52
S0516,prairie_mesic,0.269,95.55,104.72,43.26,52.35,0.5571,1.0,50.87
S0517,wetland_saturated,0.7507,77.52,18.87,74.77,76.12,0.6391,3.1,62.65
S0518,prairie_mesic,0.1312,121.8,74.52,40.48,37.93,0.3183,1.1,25.34
S0519,prairie_mesic,0.4161,94.58,49.28,91.83,64.38,0.5902,2.7,66.93
S0520,prairie_mesic,0.2888,83.26,91.55,47.89,55.65,0.4608,1.8,52.42
S0521,wetland_saturated,0.8341,65.97,11.33,97.69,90.96,0.6917,4.0,120.79
S0522,wetland_saturated,0.8916,57.13,0.0,130.81,87.32,0.8637,4.7,163.24
S0523,prairie_mesic,0.1469,110.49,87.92,49.6,38.28,0.3341,1.0,25.17
S0524,wetland_saturated,0.9151,51.01,0.0,99.15,93.87,0.8372,4.5,179.7
S0525,prairie_mesic,0.3601,118.48,63.39,58.93,58.88,0.547,2.5,62.04
S0526,prairie_mesic,0.1086,116.77,121.19,18.34,10.8,0.2992,1.0,13.74
S0527,prairie_mesic,0.2869,77.34,85.69,44.64,57.9,0.3926,1.6,46.53
S0528,wetland_saturated,0.9293,46.82,9.73,94.1,76.16,0.95,5.0,202.93
S0529,prairie_mesic,0.1544,112.78,73.94,35.3,33.45,0.3055,1.0,22.88
S0530,prairie_mesic,0.3617,95.93,36.2,80.39,78.26,0.4881,2.8,65.37
S0531,prairie_mesic,0.1502,125.85,109.21,23.76,17.09,0.2775,1.0,15.21
S0532,prairie_mesic,0.1571,124.31,77.65,20.9,42.7,0.2207,1.1,21.92
S0533,wetland_saturated,0.8183,52.8,8.03,74.27,72.0,0.7973,3.3,99.59
S0534,prairie_mesic,0.1638,121.47,103.38,33.02,45.4,0.2562,1.0,17.81
S0535,wetland_saturated,0.7306,52.4,22.35,31.94,61.71,0.4716,2.8,64.34
S0536,prairie_mesic,0.2826,82.75,46.92,35.26,47.82,0.4059,2.5,51.93
S0537,prairie_mesic,0.2223,89.02,76.35,47.85,38.3,0.403,1.5,39.33
S0538,wetland_saturated,0.6383,52.47,51.75,80.64,70.99,0.5483,3.2,45.27
S0539,wetland_saturated,0.6424,75.84,58.41,62.86,50.89,0.441,3.9,63.37
S0540,prairie_mesic,0.2803,98.03,73.72,41.78,51.69,0.4042,1.5,51.0
S0541,prairie_mesic,0.3277,99.81,61.14,70.66,57.2,0.4113,2.5,53.04
S0542,prairie_mesic,0.2699,91.52,54.75,48.06,58.02,0.3577,1.8,46.32
S0543,prairie_mesic,0.2753,102.55,54.82,79.06,62.4,0.4642,1.6,55.08
S0544,wetland_saturated,0.6133,53.34,42.77,41.61,61.49,0.4564,2.8,39.39
S0545,prairie_mesic,0.2214,113.51,89.72,32.51,41.78,0.3856,1.5,35.07
S0546,prairie_mesic,0.3628,91.03,63.09,80.73,59.25,0.4411,2.0,60.35
S0547,prairie_mesic,0.4093,97.57,24.01,59.9,58.38,0.6003,3.5,61.98
S0548,wetland_saturated,0.8327,65.37,0.0,85.7,77.04,0.8027,4.1,122.94
S0549,wetland_saturated,0.7658,47.25,46.47,58.27,58.77,0.4885,3.5,63.48
S0550,prairie_mesic,0.2106,88.71,86.09,52.09,30.5,0.3898,1.0,32.08
S0551,prairie_mesic,0.2522,83.7,45.54,37.17,63.43,0.4666,2.5,45.73
S0552,prairie_mesic,0.2609,98.66,103.75,55.14,64.17,0.4203,2.0,53.24
S0553,prairie_mesic,0.114,123.75,96.6,41.18,34.62,0.2626,2.1,22.73
S0554,wetland_saturated,0.8147,45.22,15.9,91.0,79.47,0.655,4.0,114.18
S0555,wetland_saturated,0.6398,56.19,51.72,57.96,43.38,0.5159,3.5,54.56
S0556,prairie_mesic,0.2527,86.98,66.73,55.97,44.62,0.3273,1.6,47.04
S0557,prairie_mesic,0.211,108.29,81.77,55.21,48.38,0.363,1.8,27.19
S0558,prairie_mesic,0.2811,78.81,102.39,54.24,59.41,0.3988,1.5,49.74
S0559,wetland_saturated,0.8153,43.99,27.35,86.13,65.23,0.6578,2.5,95.08
S0560,wetland_saturated,0.7323,48.81,34.48,79.78,52.7,0.507,3.5,86.29
S0561,prairie_mesic,0.2304,97.73,83.42,34.85,61.22,0.3752,1.6,42.2
S0562,prairie_mesic,0.3555,76.12,42.8,78.04,54.87,0.5002,3.0,58.71
S0563,prairie_mesic,0.137,117.22,118.87,18.87,44.39,0.2566,2.4,16.28
S0564,wetland_saturated,0.7377,70.13,4.46,90.8,81.45,0.6385,3.6,91.84
S0565,prairie_mesic,0.4059,76.93,59.53,108.69,62.05,0.6621,3.2,61.16
S0566,wetland_saturated,0.835,58.77,0.0,77.77,73.44,0.8335,3.9,118.93
S0567,wetland_saturated,0.7023,70.2,1.65,55.51,47.52,0.6965,3.4,71.52
S0568,prairie_mesic,0.3018,84.91,66.87,72.08,60.91,0.3663,1.7,50.52
S0569,prairie_mesic,0.3293,82.7,47.16,95.98,64.95,0.3789,2.5,52.62
S0570,prairie_mesic,0.2576,107.88,42.6,44.06,37.56,0.4616,2.1,39.93
S0571,wetland_saturated,0.6003,72.15,60.25,29.28,50.34,0.4057,2.6,32.37
S0572,wetland_saturated,0.5988,90.04,85.16,23.8,43.69,0.517,2.5,26.25
S0573,prairie_mesic,0.2296,109.5,105.29,40.76,62.69,0.5027,1.6,34.86
S0574,prairie_mesic,0.4072,87.64,51.38,77.58,56.3,0.5718,3.6,69.87
S0575,prairie_mesic,0.2883,96.08,65.51,82.91,46.99,0.3907,2.2,56.07
S0576,prairie_mesic,0.3697,92.77,70.67,72.66,61.84,0.5841,2.6,67.28
S0577,wetland_saturated,0.9018,71.74,20.08,101.85,75.11,0.6115,4.8,153.23
S0578,wetland_saturated,0.8452,55.36,0.28,80.43,78.47,0.7338,4.7,127.21
S0579,wetland_saturated,0.8977,61.34,4.07,109.91,78.42,0.7945,4.5,150.75
S0580,prairie_mesic,0.276,95.13,77.96,69.42,54.1,0.3015,1.7,43.05
S0581,wetland_saturated,0.7206,67.58,43.25,53.64,59.06,0.6028,4.6,55.57
S0582,wetland_saturated,0.9391,48.24,0.88,104.96,80.0,0.8978,4.3,171.05
S0583,wetland_saturated,0.6548,73.51,38.09,63.02,43.65,0.4365,2.9,47.72
S0584,prairie_mesic,0.2093,109.7,104.9,38.08,53.3,0.3682,1.5,38.93
S0585,prairie_mesic,0.0955,108.06,123.14,16.85,10.04,0.205,1.0,13.49
S0586,prairie_mesic,0.0924,135.9,112.25,8.19,9.8,0.0911,1.1,7.23
S0587,prairie_mesic,0.2155,125.29,105.5,58.34,61.23,0.4282,1.6,39.5
S0588,wetland_saturated,0.9248,63.81,0.0,132.29,81.65,0.8625,4.3,221.57
S0589,wetland_saturated,0.7973,75.08,37.57,95.5,77.51,0.6589,3.8,84.49
S0590,prairie_mesic,0.3145,90.07,68.64,69.54,53.89,0.4336,3.0,60.84
S0591,wetland_saturated,0.7921,40.87,63.2,99.86,76.02,0.6893,3.3,76.57
S0592,wetland_saturated,0.8275,40.97,0.0,100.26,74.64,0.6913,3.2,130.13
S0593,prairie_mesic,0.09,123.93,92.62,20.63,36.59,0.2302,1.1,19.23
S0594,wetland_saturated,0.6836,54.97,44.73,62.48,56.27,0.4839,3.6,75.42
S0595,wetland_saturated,0.9058,49.51,8.84,111.08,70.58,0.7518,4.7,163.85
S0596,wetland_saturated,0.8704,60.71,34.27,95.47,84.62,0.7178,4.1,140.15
S0597,prairie_mesic,0.4068,96.07,47.16,74.76,53.6,0.3921,2.2,54.8
S0598,wetland_saturated,0.9116,43.31,16.4,107.27,95.01,0.8039,3.7,166.57
S0599,wetland_saturated,0.6317,65.83,66.47,57.25,43.81,0.4813,2.8,40.28
S0600,prairie_mesic,0.2801,107.08,75.23,76.97,58.52,0.4124,2.8,53.57
S0601,wetland_saturated,0.8739,48.0,0.0,102.58,71.71,0.9391,3.3,169.78
S0602,prairie_mesic,0.3649,98.64,81.21,98.12,61.64,0.4983,2.0,59.81
S0603,wetland_saturated,0.6903,53.46,50.2,55.65,63.13,0.5976,3.4,62.43
S0604,wetland_saturated,0.8964,64.16,11.71,111.21,99.25,0.8442,4.4,182.55
